大清三藏圣教,雍正皇帝等制
大般若波罗蜜多经,唐三藏法师玄奘
放光般若波罗蜜经,西晋三藏无罗叉共竺叔兰
摩诃般若波罗蜜经,姚秦三藏鸠摩罗什共僧叡
光赞般若波罗蜜经,西晋三藏法师竺法护
道行般若波罗蜜经,后汉三藏法师支娄迦谶
小品般若波罗蜜经,姚秦三藏法师鸠摩罗什
摩诃般若波罗蜜钞经,符秦昙摩共竺佛念等
大明度无极经,吴月支优婆塞支谦
胜天王般若波罗蜜经,陈优禅尼国王子月婆首那
金刚般若波罗蜜经,鸠摩罗什、菩提流支、真谛
能断金刚般若波罗蜜经,唐三藏法师玄奘、沙门义净
金刚能断般若波罗蜜经,隋三藏法师笈多
佛说濡首菩萨无上清净分卫经,刘宋沙门翔公
仁王护国般若波罗蜜经,姚秦三藏法师鸠摩罗什
实相般若波罗蜜经,唐南天竺沙门菩提流志等
摩诃般若波罗蜜大明咒经,姚秦三藏法师鸠摩罗什
般若波罗蜜多心经,唐三藏法师玄奘
文殊师利所说摩诃般若波罗蜜经,梁三藏法师曼陀罗仙
文殊师利所说般若波罗蜜经,梁三藏法师僧伽娑罗
大宝积经,唐三藏菩提流志译并合
大方广三戒经,北凉天竺三藏昙无谶
佛说无量清净平等觉经,后汉月支三藏支娄迦识
佛说阿弥陀经,吴月支优婆塞支谦
佛说无量寿经,曹魏康僧铠
佛说阿閦佛国经,后汉月支三藏支娄迦识
佛说大乘十法经,梁三藏僧伽婆罗
佛说普门品经,西晋三藏法师竺法护
文殊师利佛土严净经,西晋三藏法师竺法护
佛说胞胎经,西晋三藏法师竺法护
佛说法镜经,后汉安息安玄共严佛调
郁迦罗越问菩萨行经,西晋三藏法师竺法护
幻士仁贤经,西晋三藏法师竺法护
佛说决定毗尼经,西晋敦煌三藏法师
发觉净心经,隋天竺三藏阇那崛多
佛说优填王经,西晋三藏沙门释法
佛说须摩提经,西晋三藏法师竺法护
佛说须摩提菩萨经,姚秦三藏法师鸠摩罗什
佛说离垢施女经,西晋三藏法师竺法护
佛说阿阇世王女阿术达菩萨经,西晋三藏法师竺法护
佛说须赖经,曹魏白延前凉支施仑
得无垢女经,元魏婆罗门般若流支
文殊师利所说不思议佛境界经,唐三藏法师菩提流志
佛说如幻三昧经,西晋三藏法师竺法护
善住意天子所问经,元魏毗目智仙共般若流支
太子刷护经,西晋三藏法师竺法护
太子和休经,失译
入法界体性经,隋天竺三藏阇那崛多
慧上菩萨问大善权经,西晋三藏法师竺法护
大乘显识经,中天竺国沙门地婆诃罗
佛说大乘方等要慧经,后汉安息三藏安世高
弥勒菩萨所问本愿经,西晋三藏法师竺法护
度一切诸佛境界智严经,梁三藏法师僧伽娑罗
佛遗日摩尼宝经,后汉月支三藏支娄迦识
佛说摩诃衍宝严经,失译
胜鬘师子吼一乘大方便方广经,刘宋天竺三藏求那跋陀罗
毗耶娑问经,元魏三藏瞿昙般若流支
大方等大集经,北凉天竺三藏昙无谶
大乘大方等日藏经,隋天竺三藏那连提耶舍
大方等大集月藏经,高齐天竺三藏那连提耶舍
大乘大集地藏十轮经,唐三藏法师玄奘
佛说大方广十轮经,失译师名今附北凉录
大集须弥藏经,那连提耶舍共法智
虚空孕菩萨经,隋天竺三藏阇那崛多
虚空藏菩萨经,姚秦罽宾三藏佛陀耶舍
虚空藏菩萨神咒经,刘宋罽宾国三藏昙摩蜜多
观虚空藏菩萨经,刘宋罽宾国三藏昙摩蜜多
佛说菩萨念佛三昧经,刘宋天竺三藏功德直
佛说大方等大集菩萨念佛三昧经,隋天竺三藏达磨笈多
般舟三昧经,后汉月支三藏支娄迦识
阿差末菩萨经,西晋三藏法师竺法护
大方等大集贤护经,隋天竺三藏阇那崛多及笈多等
拔陂菩萨经,后汉月支三藏支娄迦识
无尽意菩萨经,刘宋凉州沙门智严共宝云
大集譬喻王经,隋天竺三藏阇那崛多
大哀经,西晋三藏法师竺法护
宝女所问经,西晋三藏法师竺法护
无言童子经,西晋三藏法师竺法护
